feature_name,group
"ALLOPURINOL_quantity_value_(60.0, 90.0]",15
"ALLOPURINOL_quantity_value_(90.0, 450.0]",15
"ALPRAZOLAM_quantity_value_(-0.001, 20.0]",16
"ALPRAZOLAM_quantity_value_(20.0, 30.0]",16
"ALPRAZOLAM_quantity_value_(30.0, 60.0]",16
"ALPRAZOLAM_quantity_value_(60.0, 600.0]",16
"ALUMINUM CHLORIDE_amount_value_(-0.001, 7.0]",17
"ALUMINUM CHLORIDE_amount_value_(7.0, 12.0]",17
"ALUMINUM CHLORIDE_amount_value_(12.0, 315.432]",17
"ALUMINUM CHLORIDE_amount_value_(315.432, 2400.0]",17
"ALUMINUM CHLORIDE_amount_value_(2400.0, 1680000000.0]",17
"ALUMINUM CHLORIDE_quantity_value_(34.999, 60.0]",18
"ALUMINUM CHLORIDE_quantity_value_(60.0, 240.0]",18
"AMITRIPTYLINE HCL_quantity_value_(8.999, 30.0]",19
"AMITRIPTYLINE HCL_quantity_value_(30.0, 36.4]",19
"AMITRIPTYLINE HCL_quantity_value_(36.4, 90.0]",19
"AMITRIPTYLINE HCL_quantity_value_(90.0, 450.0]",19
"AMLODIPINE BES/OLMESARTAN MED_quantity_value_(4.999, 30.0]",20
"AMLODIPINE BES/OLMESARTAN MED_quantity_value_(30.0, 180.0]",20
"AMLODIPINE BESYLATE/BENAZEPRIL_quantity_value_(9.999, 30.0]",21
"AMLODIPINE BESYLATE/BENAZEPRIL_quantity_value_(30.0, 90.0]",21
"AMLODIPINE BESYLATE/BENAZEPRIL_quantity_value_(90.0, 180.0]",21
"AMLODIPINE BESYLATE_amount_value_(24.999, 150.0]",22
"AMLODIPINE BESYLATE_amount_value_(150.0, 300.0]",22
"AMLODIPINE BESYLATE_amount_value_(300.0, 450.0]",22
"AMLODIPINE BESYLATE_amount_value_(450.0, 1800.0]",22
"AMLODIPINE BESYLATE_quantity_value_(1.999, 30.0]",23
"AMLODIPINE BESYLATE_quantity_value_(30.0, 90.0]",23
"AMLODIPINE BESYLATE_quantity_value_(90.0, 300.0]",23
"AMLODIPINE BES_amount_value_(49.999, 150.0]",24
"AMLODIPINE BES_amount_value_(150.0, 300.0]",24
"AMLODIPINE/VALSARTAN_quantity_value_(0.999, 30.0]",25
"AMLODIPINE/VALSARTAN_quantity_value_(30.0, 34.0]",25
"AMLODIPINE/VALSARTAN_quantity_value_(34.0, 90.0]",25
"AMLODIPINE_amount_value_(4.999, 150.0]",26
"AMLODIPINE_amount_value_(150.0, 300.0]",26
"AMLODIPINE_amount_value_(300.0, 900.0]",26
"AMOX TR/POTASSIUM CLAVULANATE_quantity_value_(0.999, 20.0]",27
"AMOX TR/POTASSIUM CLAVULANATE_quantity_value_(20.0, 900.0]",27
"AMOX TR_amount_value_(499.999, 7000.0]",28
"AMOX TR_amount_value_(7000.0, 14000.0]",28
"AMOXICILLIN TRI/POTASSIUM CLAV_quantity_value_(5.999, 20.0]",29
"AMOXICILLIN TRI/POTASSIUM CLAV_quantity_value_(20.0, 60.0]",29
"AMOXICILLIN TRIHYDRATE_amount_value_(874.999, 12250.0]",30
"AMOXICILLIN TRIHYDRATE_amount_value_(12250.0, 17500.0]",30
"AMOXICILLIN TRIHYDRATE_amount_value_(17500.0, 175000.0]",30
"AMOXICILLIN TRIHYDRATE_quantity_value_(1.999, 20.0]",31
"AMOXICILLIN TRIHYDRATE_quantity_value_(20.0, 30.0]",31
"AMOXICILLIN TRIHYDRATE_quantity_value_(30.0, 400.0]",31
"AMOXICILLIN/POTASSIUM CLAV_quantity_value_(1.999, 20.0]",32
"AMOXICILLIN/POTASSIUM CLAV_quantity_value_(20.0, 375.0]",32
"AMOXICILLIN_amount_value_(999.999, 12250.0]",33
"AMOXICILLIN_amount_value_(12250.0, 17500.0]",33
"AMOXICILLIN_amount_value_(17500.0, 52500.0]",33
"AMOXICILLIN_quantity_value_(0.999, 20.0]",34
"AMOXICILLIN_quantity_value_(20.0, 30.0]",34
"AMOXICILLIN_quantity_value_(30.0, 450.0]",34
"AMOXICILN_amount_value_(6999.999, 56000.0]",35
"AMPHET ASP/AMPHET/D-AMPHET_quantity_value_(4.999, 30.0]",36
"AMPHET ASP/AMPHET/D-AMPHET_quantity_value_(30.0, 60.0]",36
"AMPHET ASP/AMPHET/D-AMPHET_quantity_value_(60.0, 61.0]",36
"AMPHET ASP/AMPHET/D-AMPHET_quantity_value_(61.0, 450.0]",36
"AMPICILLIN TRIHYDRATE_quantity_value_(3.999, 20.0]",37
"AMPICILLIN TRIHYDRATE_quantity_value_(20.0, 28.0]",37
"AMPICILLIN TRIHYDRATE_quantity_value_(28.0, 30.0]",37
"AMPICILLIN TRIHYDRATE_quantity_value_(30.0, 40.0]",37
"AMPICILLIN TRIHYDRATE_quantity_value_(40.0, 180.0]",37
ANASTROZOLE_amount_value_45.0,38
"ANASTROZOLE_quantity_value_(1.999, 30.0]",39
"ANASTROZOLE_quantity_value_(30.0, 90.0]",39
"ANTIPYRINE/BENZOCAINE/GLYCERIN_quantity_value_(9.999, 15.0]",40
"ANTIPYRINE/BENZOCAINE/GLYCERIN_quantity_value_(15.0, 40.0]",40
"APREPITANT_amount_value_(-0.001, 56.0]",41
"APREPITANT_amount_value_(56.0, 264.0]",41
"APREPITANT_amount_value_(264.0, 1560.0]",41
"APREPITANT_amount_value_(1560.0, 4900.0]",41
"APREPITANT_amount_value_(4900.0, 51000.0]",41
"APREPITANT_quantity_value_(0.999, 6.0]",42
"ARIPIPRAZOLE_quantity_value_(3.999, 30.0]",43
"ARIPIPRAZOLE_quantity_value_(30.0, 900.0]",43
"ARMODAFINIL_quantity_value_(6.999, 30.0]",44
"ARMODAFINIL_quantity_value_(30.0, 111.0]",44
"ASPIRIN_amount_value_(2924.999, 9750.0]",45
"ASPIRIN_amount_value_(9750.0, 13000.0]",45
"ASPIRIN_amount_value_(13000.0, 19500.0]",45
"ASPIRIN_amount_value_(19500.0, 97500.0]",45
"ATENOLOL/CHLORTHALIDONE_quantity_value_(14.999, 30.0]",46
"ATENOLOL/CHLORTHALIDONE_quantity_value_(30.0, 84.0]",46
"ATENOLOL/CHLORTHALIDONE_quantity_value_(84.0, 180.0]",46
"ATENOLOL_amount_value_(749.999, 1500.0]",47
"ATENOLOL_amount_value_(1500.0, 2250.0]",47
"ATENOLOL_amount_value_(2250.0, 4220.0]",47
"ATENOLOL_quantity_value_(1.999, 30.0]",48
"ATENOLOL_quantity_value_(30.0, 31.0]",48
"ATENOLOL_quantity_value_(31.0, 90.0]",48
"ATENOLOL_quantity_value_(90.0, 360.0]",48
"ATOMOXETINE HCL_quantity_value_(6.999, 30.0]",49
"ATOMOXETINE HCL_quantity_value_(30.0, 60.0]",49
"ATOMOXETINE HCL_quantity_value_(60.0, 180.0]",49
"ATORVASTATIN CALCIUM_quantity_value_(2.999, 30.0]",50
"ATORVASTATIN CALCIUM_quantity_value_(30.0, 90.0]",50
"ATORVASTATIN CALCIUM_quantity_value_(90.0, 300.0]",50
"ATOVAQUONE/PROGUANIL HCL_quantity_value_(1.999, 16.0]",51
"ATOVAQUONE/PROGUANIL HCL_quantity_value_(16.0, 20.0]",51
"ATOVAQUONE/PROGUANIL HCL_quantity_value_(20.0, 24.0]",51
"ATOVAQUONE/PROGUANIL HCL_quantity_value_(24.0, 30.0]",51
"ATOVAQUONE/PROGUANIL HCL_quantity_value_(30.0, 120.0]",51
"ATROP SULF_amount_value_(-0.001, 0.75]",52
"ATROP SULF_amount_value_(0.75, 40.42]",52
"ATROP SULF_amount_value_(40.42, 900.0]",52
"ATROP SULF_amount_value_(900.0, 4020.452]",52
"ATROP SULF_amount_value_(4020.452, 1680000700.0]",52
"ATROPINE_amount_value_(-0.001, 1.0]",53
"ATROPINE_amount_value_(1.0, 80.34]",53
"ATROPINE_amount_value_(80.34, 750.612]",53
"ATROPINE_amount_value_(750.612, 3089.6]",53
"ATROPINE_amount_value_(3089.6, 1680000020.0]",53
"AZATHIOPRINE_quantity_value_(2.999, 45.0]",54
"AZATHIOPRINE_quantity_value_(45.0, 60.0]",54
"AZATHIOPRINE_quantity_value_(60.0, 90.0]",54
"AZATHIOPRINE_quantity_value_(90.0, 135.0]",54
"AZATHIOPRINE_quantity_value_(135.0, 450.0]",54
"AZELAIC ACID_amount_value_(-0.001, 0.075]",55
"AZELAIC ACID_amount_value_(0.075, 0.225]",55
"AZELAIC ACID_amount_value_(0.225, 520.0]",55
"AZELAIC ACID_amount_value_(520.0, 3000.0]",55
"AZELAIC ACID_amount_value_(3000.0, 1680000000.0]",55
"AZELAIC ACID_quantity_value_(29.999, 50.0]",56
"AZELAIC ACID_quantity_value_(50.0, 150.0]",56
"AZELASTINE HCL_amount_value_(-0.001, 0.003]",57
"AZELASTINE HCL_amount_value_(0.003, 0.276]",57
"AZELASTINE HCL_amount_value_(0.276, 190.4]",57
"AZELASTINE HCL_amount_value_(190.4, 1802.466]",57
"AZELASTINE HCL_amount_value_(1802.466, 4335000.0]",57
"AZELASTINE HCL_quantity_value_(5.999, 30.0]",58
"AZELASTINE HCL_quantity_value_(30.0, 240.0]",58
"AZITHROMYCIN_amount_value_(-0.001, 0.025]",59
"AZITHROMYCIN_amount_value_(0.025, 0.601]",59
"AZITHROMYCIN_amount_value_(0.601, 1400.0]",59
"AZITHROMYCIN_amount_value_(1400.0, 121800.0]",59
"AZITHROMYCIN_quantity_value_(0.999, 6.0]",60
"AZITHROMYCIN_quantity_value_(6.0, 300.0]",60
"BACLOFEN_amount_value_(9.999, 120.0]",61
"BACLOFEN_amount_value_(120.0, 300.0]",61
"BACLOFEN_amount_value_(300.0, 1500.0]",61
"BACLOFEN_amount_value_(1500.0, 3000.0]",61
"BACLOFEN_amount_value_(3000.0, 30000.0]",61
"BACLOFEN_quantity_value_(9.999, 30.0]",62
"BACLOFEN_quantity_value_(30.0, 60.0]",62
"BACLOFEN_quantity_value_(60.0, 90.0]",62
"BACLOFEN_quantity_value_(90.0, 120.0]",62
"BACLOFEN_quantity_value_(120.0, 945.0]",62
"BECLOMETHASONE DIPROPIONATE_quantity_value_(7.2989999999999995, 8.7]",63
"BECLOMETHASONE DIPROPIONATE_quantity_value_(8.7, 75.0]",63
"BELLADONNA ALKALOIDS/PHENOBARB_quantity_value_(-0.001, 20.0]",64
"BELLADONNA ALKALOIDS/PHENOBARB_quantity_value_(20.0, 30.0]",64
"BELLADONNA ALKALOIDS/PHENOBARB_quantity_value_(30.0, 60.0]",64
"BELLADONNA ALKALOIDS/PHENOBARB_quantity_value_(60.0, 120.0]",64
"BELLADONNA ALKALOIDS/PHENOBARB_quantity_value_(120.0, 840.0]",64
"BELLADONNA ALKALOIDS_amount_value_(-0.001, 340.2]",65
"BELLADONNA ALKALOIDS_amount_value_(340.2, 486.0]",65
"BELLADONNA ALKALOIDS_amount_value_(486.0, 972.0]",65
"BELLADONNA ALKALOIDS_amount_value_(972.0, 2268.0]",65
"BELLADONNA ALKALOIDS_amount_value_(2268.0, 13608.0]",65
"BENAZEPRIL HCL_quantity_value_(2.999, 30.0]",66
"BENAZEPRIL HCL_quantity_value_(30.0, 90.0]",66
"BENAZEPRIL HCL_quantity_value_(90.0, 270.0]",66
"BENAZEPRIL/HYDROCHLOROTHIAZIDE_quantity_value_(4.999, 30.0]",67
"BENAZEPRIL/HYDROCHLOROTHIAZIDE_quantity_value_(30.0, 90.0]",67
"BENAZEPRIL/HYDROCHLOROTHIAZIDE_quantity_value_(90.0, 180.0]",67
"BENAZEPRIL_amount_value_(-0.001, 360.0]",68
"BENAZEPRIL_amount_value_(360.0, 600.0]",68
"BENAZEPRIL_amount_value_(600.0, 1200.0]",68
"BENAZEPRIL_amount_value_(1200.0, 3600.0]",68
"BENAZEPRIL_amount_value_(3600.0, 1680000000.0]",68
"BENZONATATE_quantity_value_(1.999, 21.0]",69
"BENZONATATE_quantity_value_(21.0, 30.0]",69
"BENZONATATE_quantity_value_(30.0, 40.0]",69
"BENZONATATE_quantity_value_(40.0, 270.0]",69
"BENZOYL PEROXIDE_amount_value_(-0.001, 1.25]",70
"BENZOYL PEROXIDE_amount_value_(1.25, 2.25]",70
"BENZOYL PEROXIDE_amount_value_(2.25, 2.568]",70
"BENZOYL PEROXIDE_amount_value_(2.568, 1500.0]",70
"BENZOYL PEROXIDE_amount_value_(1500.0, 1680000010.0]",70
"BETAMET DIPROP/PROP GLY_amount_value_(-0.001, 0.0225]",71
"BETAMET DIPROP/PROP GLY_amount_value_(0.0225, 0.03]",71
"BETAMET DIPROP/PROP GLY_amount_value_(0.03, 326.0]",71
"BETAMET DIPROP/PROP GLY_amount_value_(326.0, 2740.0]",71
"BETAMET DIPROP/PROP GLY_amount_value_(2740.0, 1684335600.0]",71
"BETAMET DIPROP/PROP GLY_quantity_value_(14.999, 30.0]",72
"BETAMET DIPROP/PROP GLY_quantity_value_(30.0, 45.0]",72
"BETAMET DIPROP/PROP GLY_quantity_value_(45.0, 50.0]",72
"BETAMET DIPROP/PROP GLY_quantity_value_(50.0, 330.0]",72
"BETAMET DIPROP_amount_value_(-0.001, 0.015]",73
"BETAMET DIPROP_amount_value_(0.015, 0.0225]",73
"BETAMET DIPROP_amount_value_(0.0225, 300.0]",73
"BETAMET DIPROP_amount_value_(300.0, 1890.0]",73
"BETAMET DIPROP_amount_value_(1890.0, 1680004500.0]",73
"BETAMETHASONE DIPROPIONATE_amount_value_(-0.001, 0.0225]",74
"BETAMETHASONE DIPROPIONATE_amount_value_(0.0225, 0.03]",74
"BETAMETHASONE DIPROPIONATE_amount_value_(0.03, 450.0]",74
"BETAMETHASONE DIPROPIONATE_amount_value_(450.0, 3500.0]",74
"BETAMETHASONE DIPROPIONATE_amount_value_(3500.0, 1680000000.0]",74
"BETAMETHASONE DIPROPIONATE_quantity_value_(0.699, 30.0]",75
"BETAMETHASONE DIPROPIONATE_quantity_value_(30.0, 45.0]",75
"BETAMETHASONE DIPROPIONATE_quantity_value_(45.0, 60.0]",75
"BETAMETHASONE DIPROPIONATE_quantity_value_(60.0, 300.0]",75
"BETAMETHASONE DIP_amount_value_(-0.001, 0.015]",76
"BETAMETHASONE DIP_amount_value_(0.015, 0.0225]",76
"BETAMETHASONE DIP_amount_value_(0.0225, 300.0]",76
"BETAMETHASONE DIP_amount_value_(300.0, 3000.0]",76
"BETAMETHASONE DIP_amount_value_(3000.0, 1680000000.0]",76
"BETAMETHASONE VALERATE_amount_value_(-0.001, 0.045]",77
"BETAMETHASONE VALERATE_amount_value_(0.045, 0.12]",77
"BETAMETHASONE VALERATE_amount_value_(0.12, 500.0]",77
"BETAMETHASONE VALERATE_amount_value_(500.0, 3500.0]",77
"BETAMETHASONE VALERATE_amount_value_(3500.0, 1680000000.0]",77
"BETAMETHASONE VALERATE_quantity_value_(14.999, 30.0]",78
"BETAMETHASONE VALERATE_quantity_value_(30.0, 45.0]",78
"BETAMETHASONE VALERATE_quantity_value_(45.0, 50.0]",78
"BETAMETHASONE VALERATE_quantity_value_(50.0, 90.0]",78
"BETAMETHASONE VALERATE_quantity_value_(90.0, 500.0]",78
"BIMATOPROST_amount_value_(-0.001, 0.00075]",79
"BIMATOPROST_amount_value_(0.00075, 0.00225]",79
"BIMATOPROST_amount_value_(0.00225, 600.0]",79
"BIMATOPROST_amount_value_(600.0, 2250.0]",79
"BIMATOPROST_amount_value_(2250.0, 8959000.0]",79
"BIMATOPROST_quantity_value_(2.499, 7.5]",80
"BIMATOPROST_quantity_value_(7.5, 10.0]",80
BISAC/NACL/NAHCO3/KCL/PEG 3350_quantity_value_1.0,81
"BISAC/NACL/NAHCO3/KCL_amount_value_(4.999, 10.0]",82
"BISAC/NACL/NAHCO3/KCL_amount_value_(10.0, 20.0]",82
"BISOPROL/HYDROCHLOROTHIAZIDE_quantity_value_(14.999, 30.0]",83
"BISOPROL/HYDROCHLOROTHIAZIDE_quantity_value_(30.0, 60.0]",83
"BISOPROL/HYDROCHLOROTHIAZIDE_quantity_value_(60.0, 180.0]",83
"BISOPROLOL FUMARATE/HCTZ_quantity_value_(13.999, 30.0]",84
"BISOPROLOL FUMARATE/HCTZ_quantity_value_(30.0, 90.0]",84
"BISOPROLOL FUMARATE/HCTZ_quantity_value_(90.0, 180.0]",84
"BISOPROLOL FUMARATE_amount_value_(74.999, 150.0]",85
"BISOPROLOL FUMARATE_amount_value_(150.0, 300.0]",85
"BISOPROLOL FUMARATE_amount_value_(300.0, 450.0]",85
"BISOPROLOL FUMARATE_amount_value_(450.0, 1800.0]",85
"BISOPROLOL FUMARATE_quantity_value_(13.999, 30.0]",86
"BISOPROLOL FUMARATE_quantity_value_(30.0, 87.0]",86
"BISOPROLOL FUMARATE_quantity_value_(87.0, 90.0]",86
"BISOPROL_amount_value_(74.999, 150.0]",87
"BISOPROL_amount_value_(150.0, 300.0]",87
"BISOPROL_amount_value_(300.0, 1800.0]",87
"BLOOD SUGAR DIAGNOSTIC, DRUM_quantity_value_(50.999, 102.0]",88
"BLOOD SUGAR DIAGNOSTIC, DRUM_quantity_value_(102.0, 765.0]",88
"BLOOD SUGAR DIAGNOSTIC_quantity_value_(1.999, 50.0]",89
"BLOOD SUGAR DIAGNOSTIC_quantity_value_(50.0, 100.0]",89
"BLOOD SUGAR DIAGNOSTIC_quantity_value_(100.0, 200.0]",89
"BLOOD SUGAR DIAGNOSTIC_quantity_value_(200.0, 1100.0]",89
"BLOOD-GLUCOSE METER_quantity_value_(0.999, 2.0]",90
"BPM_amount_value_(-0.001, 300.0]",91
"BPM_amount_value_(300.0, 1200.0]",91
"BPM_amount_value_(1200.0, 1800.0]",91
"BPM_amount_value_(1800.0, 3600.0]",91
"BPM_amount_value_(3600.0, 1680000300.0]",91
"BROMPHENIRAMIN_amount_value_(-0.001, 900.0]",92
"BROMPHENIRAMIN_amount_value_(900.0, 2000.0]",92
"BROMPHENIRAMIN_amount_value_(2000.0, 3660.0]",92
"BROMPHENIRAMIN_amount_value_(3660.0, 9736.0]",92
"BROMPHENIRAMIN_amount_value_(9736.0, 1680000000.0]",92
"BUDESONIDE/FORMOTEROL FUMARATE_quantity_value_(0.999, 10.2]",93
"BUDESONIDE/FORMOTEROL FUMARATE_quantity_value_(10.2, 61.2]",93
"BUDESONIDE_amount_value_(0.159, 1.354]",94
"BUDESONIDE_amount_value_(1.354, 1.632]",94
"BUDESONIDE_amount_value_(1.632, 15000.0]",94
"BUDESONIDE_quantity_value_(0.999, 8.6]",95
"BUDESONIDE_quantity_value_(8.6, 17.2]",95
"BUDESONIDE_quantity_value_(17.2, 90.0]",95
"BUDESONIDE_quantity_value_(90.0, 1000.0]",95
"BUPROPION HCL_quantity_value_(0.999, 30.0]",96
"BUPROPION HCL_quantity_value_(30.0, 60.0]",96
"BUPROPION HCL_quantity_value_(60.0, 90.0]",96
"BUPROPION HCL_quantity_value_(90.0, 600.0]",96
"BUSPIRONE HCL_quantity_value_(3.999, 30.0]",97
"BUSPIRONE HCL_quantity_value_(30.0, 60.0]",97
"BUSPIRONE HCL_quantity_value_(60.0, 90.0]",97
"BUSPIRONE HCL_quantity_value_(90.0, 540.0]",97
"BUTALB/ACETAMINOPHEN/CAFFEINE_quantity_value_(-0.001, 20.0]",98
"BUTALB/ACETAMINOPHEN/CAFFEINE_quantity_value_(20.0, 30.0]",98
"BUTALB/ACETAMINOPHEN/CAFFEINE_quantity_value_(30.0, 60.0]",98
"BUTALB/ACETAMINOPHEN/CAFFEINE_quantity_value_(60.0, 360.0]",98
"CAFFEINE_amount_value_(-0.001, 300.0]",99
"CAFFEINE_amount_value_(300.0, 1200.0]",99
"CAFFEINE_amount_value_(1200.0, 1500.0]",99
"CAFFEINE_amount_value_(1500.0, 4350.0]",99
"CAFFEINE_amount_value_(4350.0, 1680002000.0]",99
"CALCITRIOL_quantity_value_(0.999, 15.0]",100
"CALCITRIOL_quantity_value_(15.0, 30.0]",100
"CALCITRIOL_quantity_value_(30.0, 42.0]",100
"CALCITRIOL_quantity_value_(42.0, 100.0]",100
"CALCITRIOL_quantity_value_(100.0, 270.0]",100
"CARBAMAZEPINE_quantity_value_(19.999, 60.0]",101
"CARBAMAZEPINE_quantity_value_(60.0, 90.0]",101
"CARBAMAZEPINE_quantity_value_(90.0, 120.0]",101
"CARBAMAZEPINE_quantity_value_(120.0, 180.0]",101
"CARBAMAZEPINE_quantity_value_(180.0, 810.0]",101
"CARISOPRODOL_quantity_value_(4.999, 30.0]",102
"CARISOPRODOL_quantity_value_(30.0, 60.0]",102
"CARISOPRODOL_quantity_value_(60.0, 360.0]",102
"CARVEDILOL_quantity_value_(9.999, 60.0]",103
"CARVEDILOL_quantity_value_(60.0, 180.0]",103
"CARVEDILOL_quantity_value_(180.0, 540.0]",103
"CEFADROXIL HYDRATE_quantity_value_(1.999, 14.0]",104
"CEFADROXIL HYDRATE_quantity_value_(14.0, 20.0]",104
"CEFADROXIL HYDRATE_quantity_value_(20.0, 100.0]",104
"CEFDINIR_quantity_value_(2.999, 20.0]",105
"CEFDINIR_quantity_value_(20.0, 200.0]",105
"CEFPROZIL_quantity_value_(6.999, 20.0]",106
"CEFPROZIL_quantity_value_(20.0, 200.0]",106
"CEFUROXIME AXETIL_quantity_value_(1.999, 14.0]",107
"CEFUROXIME AXETIL_quantity_value_(14.0, 20.0]",107
"CEFUROXIME AXETIL_quantity_value_(20.0, 220.0]",107
"CELECOXIB_quantity_value_(0.999, 30.0]",108
"CELECOXIB_quantity_value_(30.0, 60.0]",108
"CELECOXIB_quantity_value_(60.0, 180.0]",108
"CEPHALEXIN MONOHYDRATE_quantity_value_(1.999, 20.0]",109
"CEPHALEXIN MONOHYDRATE_quantity_value_(20.0, 21.0]",109
"CEPHALEXIN MONOHYDRATE_quantity_value_(21.0, 30.0]",109
"CEPHALEXIN MONOHYDRATE_quantity_value_(30.0, 40.0]",109
"CEPHALEXIN MONOHYDRATE_quantity_value_(40.0, 400.0]",109
"CEPHALEXIN_quantity_value_(1.999, 20.0]",110
"CEPHALEXIN_quantity_value_(20.0, 21.0]",110
"CEPHALEXIN_quantity_value_(21.0, 30.0]",110
"CEPHALEXIN_quantity_value_(30.0, 40.0]",110
"CEPHALEXIN_quantity_value_(40.0, 600.0]",110
"CETIRIZINE HCL_amount_value_(0.023, 495.0]",111
"CETIRIZINE HCL_amount_value_(495.0, 1500.0]",111
"CETIRIZINE HCL_amount_value_(1500.0, 5000.0]",111
"CETIRIZINE HCL_amount_value_(5000.0, 7612.0]",111
"CETIRIZINE HCL_amount_value_(7612.0, 360000.0]",111
"CETIRIZINE HCL_quantity_value_(4.999, 30.0]",112
"CETIRIZINE HCL_quantity_value_(30.0, 60.0]",112
"CETIRIZINE HCL_quantity_value_(60.0, 450.0]",112
"CHLOR-MAL_amount_value_(199.999, 400.0]",113
"CHLOR-MAL_amount_value_(400.0, 600.0]",113
"CHLOR-MAL_amount_value_(600.0, 800.0]",113
"CHLOR-MAL_amount_value_(800.0, 1200.0]",113
"CHLOR-MAL_amount_value_(1200.0, 7200.0]",113
"CHLOR-TAN_amount_value_(-0.001, 266.0]",114
"CHLOR-TAN_amount_value_(266.0, 1500.0]",114
"CHLOR-TAN_amount_value_(1500.0, 2440.0]",114
"CHLOR-TAN_amount_value_(2440.0, 9056.0]",114
"CHLOR-TAN_amount_value_(9056.0, 1680000000.0]",114
"CHLORDIAZEPOXIDE/CLIDINIUM BR_quantity_value_(4.999, 30.0]",115
"CHLORDIAZEPOXIDE/CLIDINIUM BR_quantity_value_(30.0, 56.0]",115
"CHLORDIAZEPOXIDE/CLIDINIUM BR_quantity_value_(56.0, 60.0]",115
"CHLORDIAZEPOXIDE/CLIDINIUM BR_quantity_value_(60.0, 90.0]",115
"CHLORDIAZEPOXIDE/CLIDINIUM BR_quantity_value_(90.0, 360.0]",115
"CHLORHEXIDINE GLUCONATE_amount_value_(-0.001, 0.568]",116
"CHLORHEXIDINE GLUCONATE_amount_value_(0.568, 2.25]",116
"CHLORHEXIDINE GLUCONATE_amount_value_(2.25, 600.0]",116
"CHLORHEXIDINE GLUCONATE_amount_value_(600.0, 3500.0]",116
"CHLORHEXIDINE GLUCONATE_amount_value_(3500.0, 16800000000.0]",116
"CHLORHEXIDINE GLUCONATE_quantity_value_(149.999, 473.0]",117
"CHLORHEXIDINE GLUCONATE_quantity_value_(473.0, 1419.0]",117
"CHLORPHEN POLIS_amount_value_(-0.001, 160.0]",118
"CHLORPHEN POLIS_amount_value_(160.0, 720.0]",118
"CHLORPHEN POLIS_amount_value_(720.0, 960.0]",118
